,USD-AUD Return,USD-CAD Return,USD-CHF Return,USD-CNY Return,USD-EUR Return,USD-GBP Return,USD-HKD Return,USD-JPY Return,USD-NZD Return,USD-XAU Return
2026-04-01,-0.08695889387611007,-0.027056657420105622,-0.06908470863203835,-0.01553744474648891,-0.06404221651345796,-0.029016718252988433,-0.00314195452076236,-0.030424882565144903,-0.098098208549699,-0.09249633296451984
2026-06-01,-0.09539232720677583,-0.030251218728623866,-0.07432859241782275,-0.016879436230674998,-0.06874689285361704,-0.03255929134221505,-0.0032148098656145964,-0.03625095918385387,-0.10500514479223376,-0.10133990398567043
2026-07-01,-0.09971906243309256,-0.03187245093630393,-0.07702584384596475,-0.017573215036184225,-0.07116284755983562,-0.03433952452550153,-0.0032512021407123306,-0.03923710716432349,-0.10854524333543163,-0.10586775924220507
2026-08-01,-0.1041160154131869,-0.03350876285511323,-0.07977134783972126,-0.01828174990339914,-0.07361954631368517,-0.03612560615306622,-0.0032875918251546368,-0.04227028158157793,-0.11214089864211696,-0.11046383711460508
2026-09-01,-0.10858158096474956,-0.03515972985296425,-0.0825639988286979,-0.019004795983533482,-0.07611610048321417,-0.037917569502484004,-0.0033239856002428257,-0.04534961510752597,-0.11579096342607757,-0.11512692886030834
2026-10-01,-0.11311412214867168,-0.036824860052735574,-0.08540278513841948,-0.01974214079800292,-0.0786516564162869,-0.03971542121598162,-0.0033603988619032967,-0.04847430612242597,-0.11949431964565269,-0.11985585771802817
2026-11-01,-0.11771220572063233,-0.038503798942240826,-0.08828667773451854,-0.020493543031259012,-0.08122540377051544,-0.041519178822826956,-0.0033968348795318523,-0.05164353804639732,-0.12324992269791668,-0.12464950903526137
2026-12-01,-0.1223741736922704,-0.04019610629336107,-0.09121466125124758,-0.021258796545554848,-0.08383646990568393,-0.043328850738084956,-0.003433308743017392,-0.05485645671897465,-0.12705663253262575,-0.12950661763300075
2027-01-01,-0.12709893919973683,-0.0419014799470315,-0.09418599911813771,-0.02203774148091852,-0.08648427072150973,-0.04514451871340857,-0.0034698296494508566,-0.058112523099711974,-0.13091369017492158,-0.1344264458609159
2027-02-01,-0.13188508287878567,-0.04361960746952528,-0.09719977759913351,-0.022830200398726505,-0.0891680410866679,-0.04696624173069878,-0.0035064093544165172,-0.06141093623888148,-0.1348201065870634,-0.1394078609662417
2027-03-01,-0.1367311309537175,-0.0453500444001697,-0.1002551148724759,-0.023635964590064798,-0.0918870173110288,-0.04879398425659901,-0.003543062829635823,-0.06475094702218955,-0.1387748684402082,-0.14444974565355348
2027-04-01,-0.14163650924968213,-0.047092755333678106,-0.10335149084240243,-0.024454933424272247,-0.09464084727776517,-0.050627918757478955,-0.003579790708759245,-0.0681322116031216,-0.14277756481518222,-0.14955170797059752
2027-06-01,-0.1516204980344305,-0.05061372224113879,-0.10966461181952415,-0.02613196995497675,-0.10025064647974988,-0.05431461281358631,-0.0036535351979592613,-0.07501615489271543,-0.15092355087381754,-0.15993237721174894
2027-07-01,-0.1566975076846109,-0.05239168571566442,-0.1128802378916778,-0.026989801770004554,-0.10310573854207555,-0.05616757989058199,-0.003690566841026916,-0.0785179315225945,-0.15506574622951852,-0.16520988203731418
2027-08-01,-0.16182985843131284,-0.05418102110865965,-0.11613443846923885,-0.027860369903496253,-0.1059936009065559,-0.05802708931902959,-0.003727723173315587,-0.0820588683095276,-0.15925317639832998,-0.17054447909069032
2027-09-01,-0.1670173397184413,-0.0559817538848117,-0.11942697636540359,-0.02874363185945232,-0.10891409748456994,-0.059893338584623645,-0.0037650066459996145,-0.08563887289615628,-0.16348570844011304,-0.17593611332900239
2027-10-01,-0.17225863027764024,-0.057793533372513556,-0.12275714339343373,-0.02963944913302364,-0.11186657203330116,-0.061766325116787826,-0.0038024377909621886,-0.08925723169301654,-0.16776246279415669,-0.1813837114435067
2027-11-01,-0.17755337983838695,-0.05961637915128097,-0.12612466403689312,-0.030547783505934074,-0.11485083034535407,-0.06364625411243938,-0.003840023825611448,-0.09291375921654921,-0.17208322744081395,-0.18688706409361255
2027-12-01,-0.1829013789513878,-0.061450308692920064,-0.1295293366540594,-0.03146861254933059,-0.1178667474900098,-0.06553329728903781,-0.0038777683083612135,-0.09660836955198002,-0.17644787186342692,-0.19244610439810458
2028-01-01,-0.18830186575112925,-0.06329520778725882,-0.1329707436964282,-0.03240187106517265,-0.12091395047375746,-0.06742759526813641,-0.003915688517950616,-0.10034063189059222,-0.18085593037641196,-0.19806022262760584
2028-02-01,-0.19375433995669555,-0.06515104975116007,-0.13644852651361222,-0.03334750772941848,-0.12399215375984464,-0.06932929301373882,-0.003953789652603741,-0.1041102495729544,-0.1853070435214365,-0.20372903543445975
2028-03-01,-0.19925857814515133,-0.06701782264051465,-0.13996258185982374,-0.0343055273813622,-0.1271012757719545,-0.07123857665269046,-0.00399208529091048,-0.10791717045192203,-0.1898011407752216,-0.20945248503976857
2028-04-01,-0.20481423464867343,-0.06889549931405671,-0.1435126680143543,-0.03527588517672704,-0.13024113130458626,-0.07315558378925613,-0.004030582333439769,-0.11176120981244253,-0.1943379958160668,-0.21523033884027715
2028-05-01,-0.21042089489866092,-0.07078415002044025,-0.14709851158470455,-0.036258574941165245,-0.13341149489950357,-0.07508053921344507,-0.004069290725336649,-0.11564207918134067,-0.19891735828936621,-0.2210622444248015
2028-06-01,-0.2160781894474772,-0.07268368128216661,-0.15071995442367192,-0.03725357418501695,-0.13661221603545065,-0.0770135428785523,-0.004108224659512282,-0.11955966147957496,-0.20353904491924085,-0.22694800316414848
2028-07-01,-0.2217861471738,-0.07459426512076295,-0.15437693561979698,-0.03826091388182346,-0.13984328804056273,-0.07895487667381976,-0.004147388101796118,-0.12351392802575853,-0.20820308836265344,-0.2328876789383952
2028-08-01,-0.2275444104260475,-0.0765158623893574,-0.15806929449650747,-0.0392805890118658,-0.14310455364002334,-0.08090467828305867,-0.0041867942114806956,-0.12750473820043878,-0.21290930103817313,-0.23888105568710397
2028-09-01,-0.2333527708496439,-0.07844855258226677,-0.16179688051785507,-0.040312593602734766,-0.14639590260237026,-0.08286313689422323,-0.004226451276432064,-0.13153192553805446,-0.21765758648525305,-0.24492795298097209
2028-10-01,-0.23921114373642458,-0.08039236078503705,-0.1655597011249904,-0.041356963999718416,-0.14971732635980095,-0.08483045231920724,-0.004266371906695035,-0.13559554603343132,-0.2224479478635987,-0.2510284398162138
2028-11-01,-0.2451193119542902,-0.08234738960716928,-0.1693575914846317,-0.04241370914881388,-0.15306870142871548,-0.08680682759778696,-0.004306563199309556,-0.13969539898892816,-0.22728026200974386,-0.25718230530888514
2028-12-01,-0.25107785426680795,-0.0843138778225701,-0.17319084456131784,-0.04348291323848064,-0.15645033272161352,-0.08879253726713976,-0.004347026701690852,-0.1438318980764896,-0.23215498830823267,-0.26339019988024825
2029-01-01,-0.25708567294322804,-0.08629165338258687,-0.17705895828052354,-0.044564529491959104,-0.15986169817022383,-0.09078768291143732,-0.0043877878381748635,-0.14800437095646082,-0.23707143619648335,-0.26965112312804085
2029-02-01,-0.26314346647259185,-0.08828096775172269,-0.1809622715469496,-0.04565865143476572,-0.16330315307770243,-0.09279252859322704,-0.004428844082841138,-0.15221329783827456,-0.24203011938302119,-0.2759658338982501
2029-03-01,-0.2692509669061016,-0.09028190361243782,-0.18490067161145915,-0.046765300895415016,-0.1667745817331463,-0.09480727771354036,-0.0044702096701029455,-0.15645849358599012,-0.24703093312595797,-0.2823340924313273
2029-04-01,-0.2754083300472272,-0.09229457985718759,-0.18887426322050355,-0.047884535439312155,-0.17027608213174356,-0.09683216416702861,-0.004511892571964898,-0.16074008774592669,-0.25207403143244794,-0.2887561266970718
2029-05-01,-0.28161565017499046,-0.09431916059618808,-0.1928831267752809,-0.04901643904862279,-0.17380772279935636,-0.09886743504251305,-0.004553902222238746,-0.16505815769120324,-0.25715954752418085,-0.29523208283404634
2029-06-01,-0.2878726773431457,-0.09635567575734878,-0.19692711438269744,-0.050160990707801,-0.17736937069392253,-0.10091322226268318,-0.004596245937022687,-0.1694125295281656,-0.2622873258100671,-0.3017617298442817
2029-07-01,-0.2941798596987729,-0.09840436475675735,-0.20100655036136522,-0.051318332104714086,-0.18096130572294464,-0.10296985242455317,-0.004638936004568364,-0.17380353856611294,-0.26745779512445933,-0.3083455913027484
2029-08-01,-0.3005370412696138,-0.10046526947345323,-0.2051213651207363,-0.05248847955293544,-0.18458345523432995,-0.10503748540623004,-0.004681980711493391,-0.17823110011054416,-0.2726708648681404,-0.3149835635418487
