Date,PX_LAST
2/28/2025,5954.5
1/31/2025,6040.53
12/31/2024,5881.63
11/29/2024,6032.38
10/31/2024,5705.45
9/30/2024,5762.48
8/30/2024,5648.4
7/31/2024,5522.3
6/28/2024,5460.48
5/31/2024,5277.51
4/30/2024,5035.69
3/29/2024,5254.35
2/29/2024,5096.27
1/31/2024,4845.65
12/29/2023,4769.83
11/30/2023,4567.8
10/31/2023,4193.8
9/29/2023,4288.05
8/31/2023,4507.66
7/31/2023,4588.96
6/30/2023,4450.38
5/31/2023,4179.83
4/28/2023,4169.48
3/31/2023,4109.31
2/28/2023,3970.15
1/31/2023,4076.6
12/30/2022,3839.5
11/30/2022,4080.11
10/31/2022,3871.98
9/30/2022,3585.62
8/31/2022,3955
7/29/2022,4130.29
6/30/2022,3785.38
5/31/2022,4132.15
4/29/2022,4131.93
3/31/2022,4530.41
2/28/2022,4373.94
1/31/2022,4515.55
12/31/2021,4766.18
11/30/2021,4567
10/29/2021,4605.38
9/30/2021,4307.54
8/31/2021,4522.68
7/30/2021,4395.26
6/30/2021,4297.5
5/31/2021,4204.11
4/30/2021,4181.17
3/31/2021,3972.89
2/26/2021,3811.15
1/29/2021,3714.24
12/31/2020,3756.07
11/30/2020,3621.63
10/30/2020,3269.96
9/30/2020,3363
8/31/2020,3500.31
7/31/2020,3271.12
6/30/2020,3100.29
5/29/2020,3044.31
4/30/2020,2912.43
3/31/2020,2584.59
2/28/2020,2954.22
1/31/2020,3225.52
12/31/2019,3230.78
11/29/2019,3140.98
10/31/2019,3037.56
9/30/2019,2976.74
8/30/2019,2926.46
7/31/2019,2980.38
6/28/2019,2941.76
5/31/2019,2752.06
4/30/2019,2945.83
3/29/2019,2834.4
2/28/2019,2784.49
1/31/2019,2704.1
12/31/2018,2506.85
11/30/2018,2760.17
10/31/2018,2711.74
9/28/2018,2913.98
8/31/2018,2901.52
7/31/2018,2816.29
6/29/2018,2718.37
5/31/2018,2705.27
4/30/2018,2648.05
3/30/2018,2640.87
2/28/2018,2713.83
1/31/2018,2823.81
12/29/2017,2673.61
11/30/2017,2647.58
10/31/2017,2575.26
9/29/2017,2519.36
8/31/2017,2471.65
7/31/2017,2470.3
6/30/2017,2423.41
5/31/2017,2411.8
4/28/2017,2384.2
3/31/2017,2362.72
2/28/2017,2363.64
1/31/2017,2278.87
12/30/2016,2238.83
11/30/2016,2198.81
10/31/2016,2126.15
9/30/2016,2168.27
8/31/2016,2170.95
7/29/2016,2173.6
6/30/2016,2098.86
5/31/2016,2096.96
4/29/2016,2065.3
3/31/2016,2059.74
2/29/2016,1932.23
1/29/2016,1940.24
12/31/2015,2043.94
11/30/2015,2080.41
10/30/2015,2079.36
9/30/2015,1920.03
8/31/2015,1972.18
7/31/2015,2103.84
6/30/2015,2063.11
5/29/2015,2107.39
4/30/2015,2085.51
3/31/2015,2067.89
2/27/2015,2104.5
1/30/2015,1994.99
12/31/2014,2058.9
11/28/2014,2067.56
10/31/2014,2018.05
9/30/2014,1972.29
8/29/2014,2003.37
7/31/2014,1930.67
6/30/2014,1960.23
5/30/2014,1923.57
4/30/2014,1883.95
3/31/2014,1872.34
2/28/2014,1859.45
1/31/2014,1782.59
12/31/2013,1848.36
11/29/2013,1805.81
10/31/2013,1756.54
9/30/2013,1681.55
8/30/2013,1632.97
7/31/2013,1685.73
6/28/2013,1606.28
5/31/2013,1630.74
4/30/2013,1597.57
3/29/2013,1569.19
2/28/2013,1514.68
1/31/2013,1498.11
12/31/2012,1426.19
11/30/2012,1416.18
10/31/2012,1412.16
9/28/2012,1440.67
8/31/2012,1406.58
7/31/2012,1379.32
6/29/2012,1362.16
5/31/2012,1310.33
4/30/2012,1397.91
3/30/2012,1408.47
2/29/2012,1365.68
1/31/2012,1312.41
12/30/2011,1257.61
11/30/2011,1246.96
10/31/2011,1253.3
9/30/2011,1131.42
8/31/2011,1218.89
7/29/2011,1292.28
6/30/2011,1320.64
5/31/2011,1345.2
4/29/2011,1363.61
3/31/2011,1325.83
2/28/2011,1327.22
1/31/2011,1286.12
12/31/2010,1257.64
11/30/2010,1180.55
10/29/2010,1183.26
9/30/2010,1141.2
8/31/2010,1049.33
7/30/2010,1101.6
6/30/2010,1030.71
5/31/2010,1089.41
4/30/2010,1186.69
3/31/2010,1169.43
2/26/2010,1104.49
1/29/2010,1073.87
12/31/2009,1115.1
11/30/2009,1095.63
10/30/2009,1036.2
9/30/2009,1057.08
8/31/2009,1020.63
7/31/2009,987.48
6/30/2009,919.32
5/29/2009,919.14
4/30/2009,872.81
3/31/2009,797.87
2/27/2009,735.09
1/30/2009,825.88
12/31/2008,903.25
11/28/2008,896.24
10/31/2008,968.75
9/30/2008,1166.36
8/29/2008,1282.83
7/31/2008,1267.38
6/30/2008,1280
5/30/2008,1400.38
4/30/2008,1385.59
3/31/2008,1322.7
2/29/2008,1330.63
1/31/2008,1378.55
12/31/2007,1468.36
11/30/2007,1481.14
10/31/2007,1549.38
9/28/2007,1526.75
8/31/2007,1473.99
7/31/2007,1455.28
6/29/2007,1503.35
5/31/2007,1530.62
4/30/2007,1482.37
3/30/2007,1420.86
2/28/2007,1406.82
1/31/2007,1438.24
12/29/2006,1418.3
11/30/2006,1400.63
10/31/2006,1377.94
9/29/2006,1335.85
8/31/2006,1303.82
7/31/2006,1276.66
6/30/2006,1270.2
5/31/2006,1270.09
4/28/2006,1310.61
3/31/2006,1294.83
2/28/2006,1280.66
