Date,PX_LAST
2/28/2025,50.3
1/31/2025,50.9
12/31/2024,49.2
11/30/2024,48.4
10/31/2024,46.9
9/30/2024,47.5
8/31/2024,47.5
7/31/2024,47
6/30/2024,48.3
5/31/2024,48.5
4/30/2024,48.8
3/31/2024,49.8
2/29/2024,47.6
1/31/2024,48.9
12/31/2023,46.9
11/30/2023,46.9
10/31/2023,47.3
9/30/2023,48.9
8/31/2023,47.9
7/31/2023,46.7
6/30/2023,46.3
5/31/2023,46.4
4/30/2023,46.7
3/31/2023,46.3
2/28/2023,47.5
1/31/2023,47.3
12/31/2022,48
11/30/2022,49
10/31/2022,50.3
9/30/2022,51.1
8/31/2022,53
7/31/2022,52.9
6/30/2022,53.5
5/31/2022,55.9
4/30/2022,55.3
3/31/2022,57.2
2/28/2022,58.1
1/31/2022,57.4
12/31/2021,58.3
11/30/2021,60.8
10/31/2021,60.7
9/30/2021,60.8
8/31/2021,59.8
7/31/2021,60.2
6/30/2021,61.3
5/31/2021,61.6
4/30/2021,60.8
3/31/2021,63.8
2/28/2021,60.4
1/31/2021,59.2
12/31/2020,60.2
11/30/2020,57.3
10/31/2020,58.7
9/30/2020,55.5
8/31/2020,55.4
7/31/2020,53.8
6/30/2020,52.6
5/31/2020,43.5
4/30/2020,41.8
3/31/2020,49
2/29/2020,50.1
1/31/2020,51.4
12/31/2019,47.9
11/30/2019,48.1
10/31/2019,48.1
9/30/2019,48.1
8/31/2019,48.5
7/31/2019,51
6/30/2019,51.5
5/31/2019,52.6
4/30/2019,53.6
3/31/2019,54.9
2/28/2019,54.4
1/31/2019,55.7
12/31/2018,54.9
11/30/2018,58.6
10/31/2018,58.1
9/30/2018,59.3
8/31/2018,60.5
7/31/2018,58.1
6/30/2018,59.9
5/31/2018,59
4/30/2018,58.6
3/31/2018,58.8
2/28/2018,60.9
1/31/2018,59.4
12/31/2017,59.7
11/30/2017,57.6
10/31/2017,58.6
9/30/2017,60
8/31/2017,58.4
7/31/2017,56.5
6/30/2017,56.2
5/31/2017,56.4
4/30/2017,55.8
3/31/2017,56.5
2/28/2017,57.7
1/31/2017,55.7
12/31/2016,54.4
11/30/2016,53.2
10/31/2016,51.8
9/30/2016,51.1
8/31/2016,49.8
7/31/2016,52.7
6/30/2016,52.2
5/31/2016,51.4
4/30/2016,51.3
3/31/2016,51
2/29/2016,49.2
1/31/2016,47.6
12/31/2015,48.7
11/30/2015,49.1
10/31/2015,49.1
9/30/2015,50.1
8/31/2015,50.2
7/31/2015,52
6/30/2015,52.5
5/31/2015,52.9
4/30/2015,51.9
3/31/2015,52.1
2/28/2015,53
1/31/2015,53.9
12/31/2014,55.7
11/30/2014,56.3
10/31/2014,56.2
9/30/2014,55.7
8/31/2014,56.3
7/31/2014,55.1
6/30/2014,55
5/31/2014,55.7
4/30/2014,56.6
3/31/2014,55.9
2/28/2014,55
1/31/2014,52.5
12/31/2013,56.5
11/30/2013,55.5
10/31/2013,54.6
9/30/2013,54.6
8/31/2013,54
7/31/2013,53.8
6/30/2013,51.1
5/31/2013,50.8
4/30/2013,51
3/31/2013,51.9
2/28/2013,54.2
1/31/2013,53.3
12/31/2012,50.1
11/30/2012,48
10/31/2012,50.5
9/30/2012,50.8
8/31/2012,49
7/31/2012,49.6
6/30/2012,49.5
5/31/2012,53.2
4/30/2012,55.2
3/31/2012,53.5
2/29/2012,53.3
1/31/2012,54.2
12/31/2011,53
11/30/2011,51.8
10/31/2011,51.4
9/30/2011,53.7
8/31/2011,52.6
7/31/2011,52.9
6/30/2011,55.8
5/31/2011,54.8
4/30/2011,57.9
3/31/2011,58.4
2/28/2011,59.2
1/31/2011,59.1
12/31/2010,56.6
11/30/2010,57.3
10/31/2010,56.9
9/30/2010,55.3
8/31/2010,56.4
7/31/2010,56.1
6/30/2010,56.5
5/31/2010,57.4
4/30/2010,58.1
3/31/2010,58.8
2/28/2010,55.5
1/31/2010,56.3
12/31/2009,55.8
11/30/2009,55.4
10/31/2009,57.6
9/30/2009,54.9
8/31/2009,53.4
7/31/2009,49.7
6/30/2009,46.3
5/31/2009,44.1
4/30/2009,39.9
3/31/2009,37.2
2/28/2009,36.6
1/31/2009,36.4
12/31/2008,34.5
11/30/2008,39
10/31/2008,38.2
9/30/2008,47.2
