,USD-AUD Return,USD-CAD Return,USD-CHF Return,USD-CNY Return,USD-EUR Return,USD-GBP Return,USD-HKD Return,USD-JPY Return,USD-NZD Return,USD-XAU Return
2026-04-01,-0.0048650363,-0.002913251,-0.02154773,-0.005653058,-0.015487563,-0.018878715,-0.0018799141,-0.049082972,-0.040947843,0.0124739995
2026-06-01,-0.0048650363,-0.002913251,-0.02329564,-0.00641556,-0.015487563,-0.019608121,-0.0018799141,-0.049512725,-0.040947843,0.008845215
2026-07-01,-0.007279736,-0.002913251,-0.030324431,-0.008706332,-0.015487563,-0.019608121,-0.0018799141,-0.051631257,-0.040947843,0.009463298
2026-08-01,-0.01744597,-0.0042860326,-0.02856168,-0.011572393,-0.015562068,-0.025367621,-0.0026871609,-0.048570793,-0.040947843,-0.03414366
2026-09-01,-0.01744597,-0.010112842,-0.02856168,-0.014878854,-0.017880805,-0.024324005,-0.0026871609,-0.048570793,-0.040947843,-0.03414366
2026-10-01,-0.01744597,-0.010112842,-0.02856168,-0.014878854,-0.017880805,-0.024324005,-0.0026871609,-0.048570793,-0.034531314,-0.03414366
2026-11-01,-0.01744597,-0.010112842,-0.02856168,-0.014878854,-0.017880805,-0.024324005,-0.0026871609,-0.048570793,-0.030943861,-0.03414366
2026-12-01,-0.016228495,-0.010112842,-0.02856168,-0.014878854,-0.017880805,-0.024324005,-0.0026871609,-0.048570793,-0.030943861,-0.03340757
2027-01-01,-0.03045534,-0.010112842,-0.02856168,-0.014878854,-0.01809591,-0.024324005,-0.0026871609,-0.048570793,-0.04929902,-0.03340757
2027-02-01,-0.030097837,-0.010112842,-0.029319067,-0.017483473,-0.025070898,-0.040678427,-0.0026871609,-0.039678406,-0.04991043,-0.034742657
2027-03-01,-0.030097837,-0.010112842,-0.028750712,-0.01680066,-0.02131847,-0.040678427,-0.0026871609,-0.039513525,-0.04991043,-0.034742657
2027-04-01,-0.026243756,-0.008031487,-0.028273044,-0.016271872,-0.02131847,-0.0323911,-0.0026871609,-0.035798274,-0.049712397,-0.034742657
2027-06-01,-0.026243756,-0.008031487,-0.028273044,-0.016334418,-0.02131847,-0.0323911,-0.0026871609,-0.035798274,-0.049712397,-0.034742657
2027-07-01,-0.027100565,-0.009120182,-0.027791489,-0.016334418,-0.02131847,-0.03216469,-0.0026871609,-0.035798274,-0.052073747,-0.034742657
2027-08-01,-0.027100565,-0.009120182,-0.027791489,-0.016334418,-0.02131847,-0.03216469,-0.0026871609,-0.035798274,-0.052073747,-0.034742657
2027-09-01,-0.027100565,-0.009120182,-0.027791489,-0.016334418,-0.02131847,-0.03216469,-0.0026871609,-0.035798274,-0.052073747,-0.034742657
2027-10-01,-0.027100565,-0.009120182,-0.027791489,-0.016334418,-0.02131847,-0.03216469,-0.0026871609,-0.035798274,-0.052073747,-0.034742657
2027-11-01,-0.0100783855,-6.6587505e-05,-0.025686394,-0.016334418,-0.02131847,-0.030970205,-0.0025025047,-0.035798274,-0.031452525,-0.03089803
2027-12-01,-0.006151735,0.004615011,-0.025686394,-0.016334418,-0.02104355,-0.030970205,-0.0022717218,-0.035798274,-0.031452525,-0.02984839
2028-01-01,-0.006151735,0.004615011,-0.025686394,-0.016334418,-0.02104355,-0.030970205,-0.0022717218,-0.035798274,-0.031452525,-0.02984839
2028-02-01,-0.006151735,0.004615011,-0.025686394,-0.016587535,-0.02104355,-0.030970205,-0.0022717218,-0.03782556,-0.032709695,-0.02984839
2028-03-01,-0.006151735,0.004615011,-0.025686394,-0.016587535,-0.02104355,-0.030970205,-0.0022717218,-0.03782556,-0.032709695,-0.02984839
2028-04-01,-0.006151735,0.004615011,-0.025686394,-0.016587535,-0.02104355,-0.030970205,-0.0022717218,-0.03782556,-0.032709695,-0.02984839
2028-05-01,-0.006151735,0.004615011,-0.025686394,-0.016587535,-0.02104355,-0.030970205,-0.0022717218,-0.03782556,-0.032709695,-0.02984839
2028-06-01,-0.006151735,0.004615011,-0.025686394,-0.016587535,-0.02104355,-0.030970205,-0.0022717218,-0.038183883,-0.032709695,-0.02984839
2028-07-01,-0.006151735,0.004615011,-0.0064565185,-0.010383963,-0.01887273,-0.030970205,-0.0022717218,-0.038183883,-0.029324397,-0.0104543995
2028-08-01,-0.006151735,0.004615011,-0.0064565185,-0.010383963,-0.01887273,-0.030970205,-0.0022717218,-0.038183883,-0.029324397,-0.0104543995
2028-09-01,-0.006151735,0.004615011,-0.0064565185,-0.010383963,-0.01887273,-0.030970205,-0.0022717218,-0.038183883,-0.029324397,-0.0104543995
2028-10-01,-0.006151735,0.004615011,-0.0064565185,-0.010383963,-0.01887273,-0.030341588,-0.0022549774,-0.03884817,-0.029324397,-0.0104543995
2028-11-01,-0.006151735,0.004615011,-0.0064565185,-0.010383963,-0.01887273,-0.030341588,-0.0022549774,-0.03884817,-0.029324397,-0.0104543995
2028-12-01,-0.006151735,0.0035363433,-0.0064565185,-0.009496825,-0.01887273,-0.030341588,-0.0022549774,-0.03884817,-0.029324397,-0.0104543995
2029-01-01,-0.006151735,0.0035363433,-0.0064565185,-0.009496825,-0.01887273,-0.030341588,-0.0022549774,-0.03884817,-0.029324397,-0.0104543995
2029-02-01,-0.006151735,0.0035363433,-0.0064565185,-0.009496825,-0.01887273,-0.030341588,-0.0022549774,-0.034846123,-0.029324397,-0.0104543995
2029-03-01,-0.006151735,0.0035363433,-0.0064565185,-0.009496825,-0.01887273,-0.030341588,-0.0022549774,-0.034846123,-0.029324397,-0.0104543995
2029-04-01,-0.006151735,0.0035363433,-0.0064565185,-0.009496825,-0.01887273,-0.030341588,-0.0022549774,-0.034846123,-0.029324397,-0.0104543995
